Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1965,9.1,0.9,28.3,109.8,214.5,597.7,465.1,296.1,150.1,183.7,131.7,155.5
1966,3,6.9,67.7,167.4,95.2,496.2,601.9,202.1,293.2,392.3,245.4,50.5
1967,14.3,0.1,24.6,70.1,244.9,541.7,741.4,508.4,145.8,172.7,74,31.1
1968,7.3,30.5,89.2,133.3,90,696.4,1308.9,380.7,325.4,178.9,119.4,32.7
1969,2.7,6.4,19.4,117.2,227.4,550.5,818.8,284.8,216.4,235.6,119.4,66.3
1970,12.9,17.6,25.8,132.7,289.1,535.3,558.1,554.8,212.5,278.3,80.5,5.7
1971,31.6,18.5,20,113,317.5,889.6,648.6,385.2,331.2,220.9,38.3,62.3
1972,2.6,7.5,2.5,87.5,436,401.8,714.4,294.9,185.7,351.5,140.5,114.3
1973,0,0.3,12.3,131.5,119.9,617,583.5,487.5,61.3,260.8,84.5,53.8
1974,1.6,5.4,16,128,221.5,266.9,1004.2,533.6,383.6,142.1,61,3.6
1975,5.2,21.4,63.4,123.8,162.2,864.4,531.3,675.9,457.7,368.9,204.3,19.9
1976,0.1,1.5,21,134.5,75.8,196.8,641.5,342.6,116.2,221.3,286.7,30.8
1977,1.1,15.7,28.3,102.3,306.4,599.6,753.3,234.2,201.3,437,361.7,6.7
1978,3.3,14.7,31.4,73.9,396.8,758.1,686.7,516.8,119.4,171,365.6,39
1979,2.4,30,11.7,42,127.7,582.9,662.2,383.7,211.7,163.8,261.7,23.3
1980,0,0.9,20.8,114.8,105.3,745.9,754,438.1,139.5,282.3,162.3,39.5
1981,7,6.8,28.5,75.9,166.3,912.4,489.8,495.6,376.6,265,138.6,43.3
1982,0.7,0.1,21.9,60.4,148.2,612.2,511.5,495,70.6,164.4,127.5,10.8
1983,0.2,1.5,0.9,13.1,76,322.8,583.2,579.9,497.6,136.2,116.5,69.1
1984,36.8,60,95.3,162.1,84.6,842.6,653.6,284.4,171.1,286,67.7,18
1985,61.2,6.1,29.3,66.6,254.2,828.7,388.9,315.3,117.6,204,74.9,44
1986,5.6,18.7,11.2,63.1,126.7,597.9,324.8,340.3,235.4,165.5,194.7,9.5
1987,0.6,0.8,4.3,57.2,108.3,572.6,221,396.6,157,272.1,216,131.1
1988,0.8,17.5,38.1,177.6,157.2,511.3,502.8,379.8,451.7,68.5,67,31.1
1989,10.3,0,30.1,141.5,169.4,657.5,450.7,285.5,271.1,308,92.9,5.6
1990,14.9,4.8,18,41.8,488.5,528.6,635.4,370.8,103.3,323.2,158.8,5.2
1991,10.9,4.4,33.2,97,113.4,1096.1,905.5,465.5,48.5,307.8,99.9,2.3
1992,2.4,0.9,0.1,43,218.4,819.3,767.8,508,297.5,290.7,287.6,3.7
1993,0,17.8,20.1,66.5,159,657.1,776.1,301.9,88,431.2,153.8,46.2
1994,24.3,27.1,18.1,154.5,141.3,845,955.5,479.9,212.6,428.4,117.6,6.5
1995,10.3,6.5,37.3,134.9,355.6,493.4,702.5,457.3,280,198.3,182.6,0.1
1996,2.8,9.1,14.4,124.3,74.3,572.4,696,327.4,342.7,294.1,89.9,62.5
1997,2.1,1.5,36.1,60.6,133.6,544.2,970.5,536,292.2,288.9,298.4,88.4
1998,6,2.1,8.1,61.1,151.6,732.5,641.4,371.8,517.6,444.8,135,79.4
1999,1.8,23.8,21.4,111.6,453.2,607.3,700.4,266.3,88,567.9,68.1,4.9
2000,11.7,57.8,21.5,96.3,124.5,633.8,343.2,566.5,195.8,214.2,78.1,69.1
2001,20,29.2,6.9,229.8,246.7,709.2,587.4,347.9,224.8,319.9,178,10.8
2002,6.6,9.8,34.5,116.9,340.7,491,318.9,422.2,89.8,486.7,137.9,2.3
2003,1.2,52.9,66.2,128.1,89,534.6,501.6,327.1,92.6,388.7,85.9,7.9
2004,2.7,6.2,34.6,109.3,597.9,693.4,398.2,439.3,192,317.8,118.5,1.4
2005,18.7,6.6,25.8,202.9,137.3,634.9,877.1,301.4,431.3,250.5,202,62.5
2006,9,0.6,80.1,73,521.2,577.1,569.4,396.4,481.2,374.8,213,1.9
2007,0.4,5.6,8,143.4,202.7,737.4,996.1,502.5,550.2,366.1,93.7,13.4
2008,0.8,29.7,216,103.7,78.6,478,508.7,347.8,343.9,354.1,56.8,16.1
2009,3.2,1.3,64.2,67.8,190.4,433.6,927.5,270.3,327.6,210.1,274.2,45.7
2010,18.4,1,31.9,140.3,189.8,669.1,630,358.3,273.8,442.5,339,47.9
2011,20.6,46.1,25.3,165.2,121.6,790.5,538.4,495.3,391.9,230.9,165.8,50
2012,7.4,9.1,29.6,197.5,83.8,444.6,360.6,502.6,240,189.3,113.4,9.7
2013,3.9,40.1,49.9,49.3,119.3,1042.7,830.2,369.7,318.6,259.9,154.9,17
2014,4.6,10.3,17.9,95.7,251,454.4,677.8,733.9,298.8,355.5,99.5,47.2
2015,3.1,5.8,50.1,214,201.8,563.8,406.2,252.2,293.4,309.9,223.2,79.5
2016,3,16.4,22.4,33.3,258.4,595.7,441.5,231,84.1,105.1,57.9,22
2017,12.7,0.3,87.8,52.8,213.3,579.8,378.5,462.6,435.5,228,152.1,61.4
2018,2,15,47.5,117.6,356.6,750,858,822.4,85.6,305.4,131.4,27.2
2019,0.7,12.4,13.9,93.5,62.1,359,574.3,950.5,426,471.4,119.2,36.2
